query_id,problem_relevant_at_1,problem_relevant_at_3,problem_relevant_at_5,usable_action_evidence_at_1,usable_action_evidence_at_3,usable_action_evidence_at_5,ndcg_problem_relevance_at_5
100006,0,1,1,0,1,1,0.6309297535714575
100032,1,1,1,0,1,1,0.7215634034161573
100081,1,1,1,1,1,1,0.9355095261428396
100095,0,0,0,0,0,0,0.0
100112,1,1,1,1,1,1,1.0
100155,0,0,0,0,0,0,0.0
100197,1,1,1,1,1,1,0.8389776660073724
100264,1,1,1,1,1,1,1.0
100308,0,0,0,0,0,0,0.0
100392,1,1,1,1,1,1,1.0
100515,1,1,1,1,1,1,1.0
100540,1,1,1,1,1,1,1.0
100541,1,1,1,1,1,1,0.7380487420225963
100568,1,1,1,1,1,1,1.0
100623,0,0,0,0,0,0,0.0
100629,1,1,1,1,1,1,0.7380487420225963
100636,0,1,1,0,1,1,0.531730627995306
100641,0,1,1,0,1,1,0.6182885020492784
100716,0,0,0,0,0,0,0.0
100727,1,1,1,1,1,1,0.8480742992651265
100772,0,1,1,0,1,1,0.5274557088681877
100848,1,1,1,1,1,1,1.0
100958,1,1,1,1,1,1,0.7603739868614454
100991,1,1,1,1,1,1,1.0
101101,1,1,1,1,1,1,0.9719643720954755
101116,0,1,1,0,1,1,0.6182885020492784
101194,0,0,0,0,0,0,0.0
101225,1,1,1,1,1,1,0.7698986984637216
101238,1,1,1,1,1,1,0.8389776660073724
101264,0,0,1,0,0,1,0.4306765580733931
101371,1,1,1,1,1,1,0.8166524211685232
101410,1,1,1,1,1,1,1.0
101430,1,1,1,0,0,1,0.631251450669265
101434,1,1,1,1,1,1,0.7698986984637216
101458,1,1,1,1,1,1,0.7063662475919823
101548,0,0,0,0,0,0,0.0
101598,1,1,1,1,1,1,1.0
101668,1,1,1,1,1,1,1.0
101698,1,1,1,1,1,1,1.0
101744,1,1,1,1,1,1,0.9469024295259745
101877,1,1,1,1,1,1,1.0
101898,1,1,1,1,1,1,1.0
101930,1,1,1,1,1,1,1.0
101980,1,1,1,1,1,1,1.0
102221,1,1,1,1,1,1,1.0
102316,1,1,1,1,1,1,0.9322978750325865
102327,1,1,1,1,1,1,1.0
102381,0,1,1,0,1,1,0.5274557088681877
102604,1,1,1,1,1,1,0.7521866188906461
102624,1,1,1,0,0,0,1.0
102823,1,1,1,1,1,1,1.0
102952,0,0,0,0,0,0,0.0
103074,1,1,1,0,1,1,1.0
103087,1,1,1,1,1,1,0.8389776660073724
103145,1,1,1,1,1,1,1.0
103173,1,1,1,1,1,1,0.8389776660073724
103274,1,1,1,1,1,1,0.8389776660073724
103373,1,1,1,1,1,1,0.774487192150212
103598,1,1,1,1,1,1,0.7743787950430012
103623,0,0,0,0,0,0,0.0
103656,0,0,0,0,0,0,0.0
103676,0,0,1,0,0,1,0.43067655807339306
103758,1,1,1,1,1,1,1.0
103796,1,1,1,0,0,1,0.631251450669265
103824,1,1,1,1,1,1,1.0
103861,1,1,1,1,1,1,1.0
103884,1,1,1,1,1,1,1.0
103943,1,1,1,1,1,1,0.7380487420225963
104031,1,1,1,1,1,1,1.0
104071,1,1,1,1,1,1,1.0
104135,1,1,1,1,1,1,1.0
104157,1,1,1,1,1,1,0.7698986984637216
104219,0,0,0,0,0,0,0.0
104264,1,1,1,1,1,1,1.0
104471,1,1,1,1,1,1,1.0
104515,1,1,1,1,1,1,1.0
104582,0,0,0,0,0,0,0.0
104621,1,1,1,0,0,0,1.0
104623,1,1,1,0,0,0,1.0
104674,1,1,1,0,1,1,1.0
104677,1,1,1,1,1,1,0.989141344633751
104702,1,1,1,1,1,1,1.0
104863,1,1,1,1,1,1,1.0
105029,1,1,1,1,1,1,0.774487192150212
105048,1,1,1,1,1,1,0.8389776660073724
105116,1,1,1,1,1,1,0.7711718900041457
105157,1,1,1,1,1,1,1.0
105178,1,1,1,1,1,1,0.7698986984637216
105286,1,1,1,1,1,1,1.0
105306,1,1,1,1,1,1,0.8389776660073724
105480,1,1,1,1,1,1,1.0
105590,0,0,0,0,0,0,0.0
105592,1,1,1,0,0,0,0.9060254355346823
105610,1,1,1,1,1,1,1.0
105742,1,1,1,1,1,1,0.850834274847108
105940,1,1,1,1,1,1,0.8389776660073724
106106,1,1,1,1,1,1,0.7521866188906461
106132,0,1,1,0,1,1,0.6159699112686031
106156,1,1,1,1,1,1,1.0
106168,0,1,1,0,1,1,0.5
